Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  59 species N  : neighbors at    1.023   1.027   1.330   2.309 A
         d(center): 9.962 A  angles  :   119.4   122.3    92.2   118.3   148.3    30.2
 atom  60 species N  : neighbors at    1.013   1.032   1.339   2.309 A
         d(center):10.550 A  angles  :   117.7   119.1   148.9   120.2    91.0    30.0
 atom  61 species Ni : neighbors at    2.236   2.236   2.236   2.236 A
         d(center): 0.122 A  angles  :   159.5    88.2    88.2    88.2    88.2   159.5
 atom  62 species Ni : neighbors at    2.236   2.236   2.236   2.236 A
         d(center): 8.183 A  angles  :    88.2    88.2   159.4   159.4    88.2    88.2
 atom  63 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 2.217 A  angles  :   114.0    87.2    26.5    98.4   139.2    77.1
 atom  64 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 2.217 A  angles  :   114.0    87.2    26.5    98.4   139.2    77.1
 atom  65 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 7.066 A  angles  :   114.0    87.2    26.5    98.4   139.1    77.1
 atom  66 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 2.217 A  angles  :   114.0    87.2    26.5    98.4   139.2    77.1
 atom  67 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 2.217 A  angles  :   114.0    87.2    26.5    98.4   139.2    77.1
 atom  68 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 6.698 A  angles  :   114.0    87.2    26.5    98.4   139.1    77.1
 atom  69 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 9.575 A  angles  :   114.0    87.2    26.5    98.4   139.1    77.1
 atom  70 species S  : neighbors at    1.728   2.236   2.601   2.641 A
         d(center): 9.307 A  angles  :   114.0    87.2    26.5    98.4   139.1    77.1
