Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
         d(center): 5.849 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  69 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center): 8.080 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  70 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):12.217 A  angles  :   171.1    89.4    96.4    96.4    89.4    99.8
 atom  71 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):11.103 A  angles  :   171.1    96.4    89.4    89.4    96.4    99.8
 atom  72 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):10.226 A  angles  :   171.1    89.4    96.4    96.4    89.4    99.8
 atom  73 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):13.771 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  74 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):11.671 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  75 species Mn : neighbors at    2.487   2.487   2.568   2.568 A
         d(center):10.360 A  angles  :   180.0    90.3    90.3    89.7    89.7    89.2
 atom  76 species Mn : neighbors at    2.487   2.487   2.568   2.568 A
         d(center):10.349 A  angles  :   180.0    89.7    89.7    90.3    90.3    89.2
 atom  77 species H  : neighbors at    0.880   1.182   1.347   1.909 A
         d(center):13.771 A  angles  :    47.8    31.0    45.7    64.0    72.0    71.9
 atom  78 species H  : neighbors at    0.746   1.347   1.347   1.966 A
         d(center):13.633 A  angles  :    37.5    37.5    36.8    52.1    67.4    67.4
 atom  79 species H  : neighbors at    0.633   0.879   1.286   1.735 A
         d(center):11.671 A  angles  :    46.0    38.3    52.5    70.0    75.3    82.7
 atom  80 species H  : neighbors at    0.881   1.286   1.286   2.025 A
         d(center):11.759 A  angles  :    26.5    26.5    38.2    40.0    58.2    58.2
 atom  81 species C  : neighbors at    0.746   0.880   0.880   1.440 A
         d(center):13.341 A  angles  :   111.5   111.5   125.2    84.3   108.4   108.4
 atom  82 species N  : neighbors at    0.633   0.633   0.881   1.440 A
         d(center):11.946 A  angles  :    87.9   115.2   107.1   115.2   107.1   119.5
 atom  83 species Cl : neighbors at    2.454   2.487   3.242   3.242 A
         d(center):14.510 A  angles  :    85.1    96.7    96.7    80.0    80.0   154.9
 atom  84 species Cl : neighbors at    2.568   2.568   2.733   2.733 A
         d(center):11.426 A  angles  :   171.1    96.4    89.4    89.4    96.4    99.8
