Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
         d(center):11.272 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  80 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center):12.044 A  angles  :    35.5    35.5   172.5    58.5   140.0   140.0
 atom  81 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center):13.075 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  82 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center):11.819 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  83 species Cl : neighbors at    2.014   2.347   2.436   2.907 A
         d(center):14.323 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.2
 atom  84 species Cl : neighbors at    2.361   2.362   2.582   2.582 A
         d(center):11.543 A  angles  :   118.6   108.1    79.7    79.7   108.1   165.1
